118	SB	Sb	[Sb]([C][C][C][C])	
11R	RU	Ru	[Ru]([N][N][N][N][N][N])	
188	N2	N	[N]([C][C][C][Fe])	
188	FE3	Fe	[Fe]([N][N][O][O])	
1CU	CU	Cu	[Cu]([O])	
1CU	O1	O	[O]([Cu][H][H])	
1FH	FE	Fe	[Fe]([N][N][N][N])	
1PT	PT	Pt	[Pt]([N][N])	
1PT	N1	N	[N]([C][H][H][Pt])	
1PT	N2	N	[N]([C][H][H][Pt])	
202	BR	Br	[Br]([O]=[O]=[O])	
2FH	FE	Fe	[Fe]([N][N][N][N])	
2MO	MO	Mo	[Mo](=[O]=[O])	
2OF	FE	Fe	[Fe]([O][O])	
2OF	O1	O	[O]([Fe][H][H])	
2OF	O2	O	[O]([Fe][H][H])	
2PT	N5	N	[N]([C][H][H][Pt])	
2PT	PT	Pt	[Pt]([N][N][S])	
2PT	N4	N	[N]([C][H][H][Pt])	
34B	B4	B	[B]([B][B][B][B][C][H])	
34B	B9	B	[B]([B][B][B][B][B][H])	
34B	B6	B	[B]([B][B][B][C][C][H])	
34B	B10	B	[B]([B][B][B][B][B][H])	
34B	B8	B	[B]([B][B][B][B][C][H])	
34B	B7	B	[B]([B][B][B][B][C][H])	
34B	B3	B	[B]([B][B][B][C][C][H])	
34B	B5	B	[B]([B][B][B][B][C][H])	
34B	C1C	C	[C]([B][B][B][B][C][C])	
34B	C2C	C	[C]([B][B][B][B][C][H])	
34B	B11	B	[B]([B][B][B][B][B][H])	
34B	B12	B	[B]([B][B][B][B][B][H])	
39B	C1C	C	[C]([B][B][B][C][C])	
39B	C2C	C	[C]([B][B][B][C][H])	
39B	B4	B	[B]([B][B][C][H])	
39B	B5	B	[B]([B][B][B][B][C][H])	
39B	B6	B	[B]([B][B][B][C][C][H])	
39B	B7	B	[B]([B][B][B][B][C][H])	
39B	B8	B	[B]([B][B][C][H][H])	
39B	B9	B	[B]([B][B][H][H])	
39B	B10	B	[B]([B][B][B][B][B][H])	
39B	B11	B	[B]([B][B][B][B][B][H])	
39B	B12	B	[B]([B][B][B][B][B][H])	
39B	HB9	H	[H]([B][B])	
39E	C1C	C	[C]([B][B][B][C][C])	
39E	C2C	C	[C]([B][B][B][C][H])	
39E	B4	B	[B]([B][B][C][H])	
39E	B5	B	[B]([B][B][B][B][C][H])	
39E	B6	B	[B]([B][B][B][C][C][H])	
39E	B7	B	[B]([B][B][B][B][C][H])	
39E	B8	B	[B]([B][B][C][H][H])	
39E	B9	B	[B]([B][B][H][H])	
39E	B10	B	[B]([B][B][B][B][B][H])	
39E	B11	B	[B]([B][B][B][B][B][H])	
39E	B12	B	[B]([B][B][B][B][B][H])	
39E	HB9	H	[H]([B][B])	
3OF	FE	Fe	[Fe]([O][O])	
3OF	O1	O	[O]([Fe][H][H])	
3OF	O2	O	[O]([Fe][H][H])	
4SM	MO1	Mo	[Mo]([S][S]=[S]=[S])	
543	CA	Ca	[Ca]([O][O][O][O][O][O][O])	
543	O1	O	[O]([Ca][H][H])	
543	O2	O	[O]([Ca][H][H])	
543	O3	O	[O]([Ca][H][H])	
543	O4	O	[O]([Ca][H][H])	
543	O5	O	[O]([Ca][H][H])	
543	O6	O	[O]([Ca][H][H])	
543	O	O	[O]([C][Ca][H])	
6BP	BR5	Br	[Br]([Pt])	
6BP	BR6	Br	[Br]([Pt])	
6HE	FE	Fe	[Fe]([N][N][N][N])	
6WO	W	W	[W]	
7HE	FE	Fe	[Fe]([N][N][N][N])	
830	KOAC	K	[K]([O])	
830	KOAD	K	[K]([O])	
A71	N8	N	[N]([C][H][H][Pt])	
A71	N9	N	[N]([H][H][H][Pt])	
A71	N10	N	[N]([H][H][H][Pt])	
A71	N11	N	[N]([H][H][H][Pt])	
A72	N18	N	[N]([C][H][H][Pt])	
A72	N19	N	[N]([H][H][H][Pt])	
A72	N20	N	[N]([H][H][H][Pt])	
A72	N21	N	[N]([C][H][H][Pt])	
A8D	CAM	C	[C](=[C][N]=[O])	
AAS	HG	Hg	[Hg]([C][O])	
ABT	B1A	B	[B]([H]=[P])	
AC9	O1	O	[O](=[C][Cr])	
AC9	O3	O	[O](=[C][Cr])	
AC9	O5	O	[O](=[C][Cr])	
AD9	VG	V	[V]([O][O][O]=[O])	
ADW	WB	W	[W]([O][O][O]=[O])	
ADW	WA	W	[W]([O][O][O]=[O])	
AG1	RU	Ru	[Ru]([C][C][N][N])	
ALB	FE	Fe	[Fe]([O][O][O][O][O][O])	
ALB	O1	O	[O](=[C][Fe])	
ALB	O3	O	[O](=[C][Fe])	
ALB	O5	O	[O](=[C][Fe])	
ALF	AL	Al	[Al]([F][F][F][F])	
ALK	P1	P	[P]([C][O][O][O])	
AMS	HG	Hg	[Hg]([C])	
AMW	W	W	[W]([O][O][O]=[O])	
APW	MG	Mg	[Mg]([O][O])	
ART	AS	As	[As]([O][O][O]=[O])	
ASR	AS	As	[As]([C][O][O]=[O])	
ASX	XD1	X	[X]([C])	
ASX	XD2	X	[X]([C])	
ATS	AS1	As	[As]([C][O][O]=[O])	
AUC	AU	Au	[Au]([C][C])	
AV2	V	V	[V]([O][O][O]=[O])	
AVC	V	V	[V]([O][O][O]=[O])	
B12	CO	Co	[Co]([N][N][N][N])	
B12	N24	N	[N]([C]=[C][Co])	
B13	CO	Co	[Co]([N][N][N][N])	
B15	CU	Cu	[Cu]([O][O])	
B17	CU1	Cu	[Cu]([O][O])	
B1M	CO	Co	[Co]([N][N][N][N])	
B1M	O5	O	[O]([H][P])	
B22	CU	Cu	[Cu]([O][O])	
B30	CU	Cu	[Cu]([O][O])	
