[Sb]([C][C][C][C])	118	SB
[Ru]([N][N][N][N][N][N])	11R	RU
[N]([C][C][C][Fe])	188	N2
[Fe]([N][N][O][O])	188	FE3
[Cu]([O])	1CU	CU
[O]([Cu][H][H])	1CU	O1
[Fe]([N][N][N][N])	1FH	FE
[Pt]([N][N])	1PT	PT
[N]([C][H][H][Pt])	1PT	N1
[N]([C][H][H][Pt])	1PT	N2
[Br]([O]=[O]=[O])	202	BR
[Fe]([N][N][N][N])	2FH	FE
[Mo](=[O]=[O])	2MO	MO
[Fe]([O][O])	2OF	FE
[O]([Fe][H][H])	2OF	O1
[O]([Fe][H][H])	2OF	O2
[N]([C][H][H][Pt])	2PT	N5
[Pt]([N][N][S])	2PT	PT
[N]([C][H][H][Pt])	2PT	N4
[B]([B][B][B][B][C][H])	34B	B4
[B]([B][B][B][B][B][H])	34B	B9
[B]([B][B][B][C][C][H])	34B	B6
[B]([B][B][B][B][B][H])	34B	B10
[B]([B][B][B][B][C][H])	34B	B8
[B]([B][B][B][B][C][H])	34B	B7
[B]([B][B][B][C][C][H])	34B	B3
[B]([B][B][B][B][C][H])	34B	B5
[C]([B][B][B][B][C][C])	34B	C1C
[C]([B][B][B][B][C][H])	34B	C2C
[B]([B][B][B][B][B][H])	34B	B11
[B]([B][B][B][B][B][H])	34B	B12
[C]([B][B][B][C][C])	39B	C1C
[C]([B][B][B][C][H])	39B	C2C
[B]([B][B][C][H])	39B	B4
[B]([B][B][B][B][C][H])	39B	B5
[B]([B][B][B][C][C][H])	39B	B6
[B]([B][B][B][B][C][H])	39B	B7
[B]([B][B][C][H][H])	39B	B8
[B]([B][B][H][H])	39B	B9
[B]([B][B][B][B][B][H])	39B	B10
[B]([B][B][B][B][B][H])	39B	B11
[B]([B][B][B][B][B][H])	39B	B12
[H]([B][B])	39B	HB9
[C]([B][B][B][C][C])	39E	C1C
[C]([B][B][B][C][H])	39E	C2C
[B]([B][B][C][H])	39E	B4
[B]([B][B][B][B][C][H])	39E	B5
[B]([B][B][B][C][C][H])	39E	B6
[B]([B][B][B][B][C][H])	39E	B7
[B]([B][B][C][H][H])	39E	B8
[B]([B][B][H][H])	39E	B9
[B]([B][B][B][B][B][H])	39E	B10
[B]([B][B][B][B][B][H])	39E	B11
[B]([B][B][B][B][B][H])	39E	B12
[H]([B][B])	39E	HB9
[Fe]([O][O])	3OF	FE
